candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
A_Current,1987-07,2017-06,1980s,23.0357,11.023,47.83
G15_noGoldEquiv,1987-07,2017-06,1980s,12.5465,8.797,28.01
allocation_noGoldEquiv,1987-07,2017-06,1980s,21.0332,10.687,29.08
A_Current,1987-08,2017-07,1980s,22.1322,10.875,48.15
G15_noGoldEquiv,1987-08,2017-07,1980s,12.2578,8.713,28.51
allocation_noGoldEquiv,1987-08,2017-07,1980s,20.6029,10.611,29.57
A_Current,1987-09,2017-08,1980s,20.9306,10.669,48.20
G15_noGoldEquiv,1987-09,2017-08,1980s,11.8607,8.593,28.53
allocation_noGoldEquiv,1987-09,2017-08,1980s,19.8020,10.465,29.57
A_Current,1987-10,2017-09,1980s,22.5758,10.948,48.29
G15_noGoldEquiv,1987-10,2017-09,1980s,12.6737,8.834,28.96
allocation_noGoldEquiv,1987-10,2017-09,1980s,20.9522,10.673,29.94
A_Current,1987-11,2017-10,1980s,27.5961,11.694,48.30
G15_noGoldEquiv,1987-11,2017-10,1980s,14.1617,9.237,29.24
allocation_noGoldEquiv,1987-11,2017-10,1980s,23.6073,11.114,28.78
A_Current,1987-12,2017-11,1980s,31.2710,12.160,48.17
G15_noGoldEquiv,1987-12,2017-11,1980s,15.4986,9.566,29.05
allocation_noGoldEquiv,1987-12,2017-11,1980s,25.8739,11.454,28.63
A_Current,1988-01,2017-12,1980s,32.1082,12.259,47.78
G15_noGoldEquiv,1988-01,2017-12,1980s,16.1301,9.712,28.32
allocation_noGoldEquiv,1988-01,2017-12,1980s,26.7775,11.582,28.13
A_Current,1988-02,2018-01,1980s,31.4621,12.183,48.14
G15_noGoldEquiv,1988-02,2018-01,1980s,15.6935,9.612,29.21
allocation_noGoldEquiv,1988-02,2018-01,1980s,26.4092,11.530,28.81
A_Current,1988-03,2018-02,1980s,29.6135,11.957,47.83
G15_noGoldEquiv,1988-03,2018-02,1980s,15.2392,9.505,28.48
allocation_noGoldEquiv,1988-03,2018-02,1980s,25.6697,11.424,28.59
A_Current,1988-04,2018-03,1980s,28.9382,11.871,48.07
G15_noGoldEquiv,1988-04,2018-03,1980s,15.1910,9.493,28.58
allocation_noGoldEquiv,1988-04,2018-03,1980s,25.4445,11.392,29.59
A_Current,1988-05,2018-04,1980s,28.4715,11.810,47.94
G15_noGoldEquiv,1988-05,2018-04,1980s,14.5830,9.344,28.04
allocation_noGoldEquiv,1988-05,2018-04,1980s,24.5259,11.255,29.10
A_Current,1988-06,2018-05,1980s,29.5394,11.947,47.79
G15_noGoldEquiv,1988-06,2018-05,1980s,14.7752,9.392,27.52
allocation_noGoldEquiv,1988-06,2018-05,1980s,24.8023,11.297,28.66
A_Current,1988-07,2018-06,1980s,28.0961,11.760,47.83
G15_noGoldEquiv,1988-07,2018-06,1980s,14.0902,9.219,28.01
allocation_noGoldEquiv,1988-07,2018-06,1980s,23.7444,11.135,29.08
A_Current,1988-08,2018-07,1980s,28.1741,11.771,48.15
G15_noGoldEquiv,1988-08,2018-07,1980s,14.1068,9.223,28.51
allocation_noGoldEquiv,1988-08,2018-07,1980s,23.8627,11.154,29.57
A_Current,1988-09,2018-08,1980s,29.1433,11.897,48.20
G15_noGoldEquiv,1988-09,2018-08,1980s,14.3530,9.286,28.53
allocation_noGoldEquiv,1988-09,2018-08,1980s,24.2526,11.214,29.57
A_Current,1988-10,2018-09,1980s,28.7932,11.852,48.29
G15_noGoldEquiv,1988-10,2018-09,1980s,14.3101,9.275,28.96
allocation_noGoldEquiv,1988-10,2018-09,1980s,24.2428,11.212,29.94
A_Current,1988-11,2018-10,1980s,26.5888,11.555,48.30
G15_noGoldEquiv,1988-11,2018-10,1980s,13.6283,9.097,29.24
allocation_noGoldEquiv,1988-11,2018-10,1980s,23.1783,11.046,28.78
A_Current,1988-12,2018-11,1980s,27.2256,11.643,48.17
G15_noGoldEquiv,1988-12,2018-11,1980s,13.9597,9.185,29.05
allocation_noGoldEquiv,1988-12,2018-11,1980s,23.5397,11.103,28.63
A_Current,1989-01,2018-12,1980s,24.9488,11.319,47.78
G15_noGoldEquiv,1989-01,2018-12,1980s,13.5577,9.079,28.32
allocation_noGoldEquiv,1989-01,2018-12,1980s,22.5948,10.952,28.13
A_Current,1989-02,2019-01,1980s,24.7330,11.287,48.14
G15_noGoldEquiv,1989-02,2019-01,1980s,13.3451,9.021,29.21
allocation_noGoldEquiv,1989-02,2019-01,1980s,22.3349,10.909,28.81
A_Current,1989-03,2019-02,1980s,25.6522,11.422,47.83
G15_noGoldEquiv,1989-03,2019-02,1980s,13.8304,9.151,28.48
allocation_noGoldEquiv,1989-03,2019-02,1980s,23.1020,11.034,28.59
A_Current,1989-04,2019-03,1980s,25.4344,11.390,48.07
G15_noGoldEquiv,1989-04,2019-03,1980s,13.9119,9.172,28.58
allocation_noGoldEquiv,1989-04,2019-03,1980s,23.2748,11.061,29.59
A_Current,1989-05,2019-04,1980s,25.0960,11.341,47.94
G15_noGoldEquiv,1989-05,2019-04,1980s,13.2777,9.003,28.04
allocation_noGoldEquiv,1989-05,2019-04,1980s,22.4144,10.922,29.10
A_Current,1989-06,2019-05,1980s,23.0317,11.022,47.79
G15_noGoldEquiv,1989-06,2019-05,1980s,12.4156,8.759,27.52
allocation_noGoldEquiv,1989-06,2019-05,1980s,20.9494,10.672,28.66
A_Current,1989-07,2019-06,1980s,22.8725,10.997,47.83
G15_noGoldEquiv,1989-07,2019-06,1980s,12.1167,8.671,28.01
allocation_noGoldEquiv,1989-07,2019-06,1980s,20.5021,10.593,29.08
A_Current,1989-08,2019-07,1980s,22.5080,10.937,48.15
G15_noGoldEquiv,1989-08,2019-07,1980s,11.9128,8.609,28.51
allocation_noGoldEquiv,1989-08,2019-07,1980s,20.3275,10.561,29.57
A_Current,1989-09,2019-08,1980s,20.8015,10.646,48.20
G15_noGoldEquiv,1989-09,2019-08,1980s,11.4221,8.457,28.53
allocation_noGoldEquiv,1989-09,2019-08,1980s,19.2589,10.362,29.57
A_Current,1989-10,2019-09,1980s,21.6777,10.798,48.29
G15_noGoldEquiv,1989-10,2019-09,1980s,11.8137,8.579,28.96
allocation_noGoldEquiv,1989-10,2019-09,1980s,19.8868,10.480,29.94
A_Current,1989-11,2019-10,1980s,22.0548,10.862,48.30
G15_noGoldEquiv,1989-11,2019-10,1980s,11.9408,8.618,29.24
allocation_noGoldEquiv,1989-11,2019-10,1980s,20.1608,10.531,28.78
A_Current,1989-12,2019-11,1980s,23.4961,11.096,48.17
G15_noGoldEquiv,1989-12,2019-11,1980s,12.4621,8.773,29.05
allocation_noGoldEquiv,1989-12,2019-11,1980s,21.0369,10.688,28.63
A_Current,1990-01,2019-12,1990s,24.0280,11.179,47.78
G15_noGoldEquiv,1990-01,2019-12,1990s,12.8743,8.891,28.32
allocation_noGoldEquiv,1990-01,2019-12,1990s,21.5310,10.773,28.13
A_Current,1990-02,2020-01,1990s,24.8053,11.297,48.14
G15_noGoldEquiv,1990-02,2020-01,1990s,13.2783,9.003,29.21
allocation_noGoldEquiv,1990-02,2020-01,1990s,22.1895,10.885,28.81
A_Current,1990-03,2020-02,1990s,24.8529,11.304,47.83
G15_noGoldEquiv,1990-03,2020-02,1990s,13.5731,9.083,28.48
allocation_noGoldEquiv,1990-03,2020-02,1990s,22.6511,10.961,28.59
A_Current,1990-04,2020-03,1990s,19.2431,10.359,48.07
G15_noGoldEquiv,1990-04,2020-03,1990s,11.7514,8.560,28.58
allocation_noGoldEquiv,1990-04,2020-03,1990s,19.4211,10.393,29.59
A_Current,1990-05,2020-04,1990s,20.4389,10.581,47.94
G15_noGoldEquiv,1990-05,2020-04,1990s,11.8272,8.583,28.04
allocation_noGoldEquiv,1990-05,2020-04,1990s,19.5251,10.413,29.10
A_Current,1990-06,2020-05,1990s,20.3496,10.565,47.79
G15_noGoldEquiv,1990-06,2020-05,1990s,11.4602,8.469,27.52
allocation_noGoldEquiv,1990-06,2020-05,1990s,19.0705,10.326,28.66
A_Current,1990-07,2020-06,1990s,20.8774,10.660,47.83
G15_noGoldEquiv,1990-07,2020-06,1990s,11.4886,8.478,28.01
allocation_noGoldEquiv,1990-07,2020-06,1990s,19.1839,10.348,29.08
A_Current,1990-08,2020-07,1990s,21.5205,10.772,48.15
G15_noGoldEquiv,1990-08,2020-07,1990s,11.6634,8.533,28.51
allocation_noGoldEquiv,1990-08,2020-07,1990s,19.5460,10.417,29.57
A_Current,1990-09,2020-08,1990s,24.6526,11.274,48.20
G15_noGoldEquiv,1990-09,2020-08,1990s,12.6360,8.823,28.53
allocation_noGoldEquiv,1990-09,2020-08,1990s,21.1510,10.708,29.57
A_Current,1990-10,2020-09,1990s,25.6452,11.421,48.29
G15_noGoldEquiv,1990-10,2020-09,1990s,13.0706,8.946,28.96
allocation_noGoldEquiv,1990-10,2020-09,1990s,21.8345,10.825,29.94
A_Current,1990-11,2020-10,1990s,27.1861,11.638,48.30
G15_noGoldEquiv,1990-11,2020-10,1990s,13.5387,9.074,29.24
allocation_noGoldEquiv,1990-11,2020-10,1990s,22.7067,10.970,28.78
A_Current,1990-12,2020-11,1990s,28.5907,11.826,48.17
G15_noGoldEquiv,1990-12,2020-11,1990s,13.9152,9.173,29.05
allocation_noGoldEquiv,1990-12,2020-11,1990s,23.2871,11.063,28.63
A_Current,1991-01,2020-12,1990s,29.3200,11.919,47.78
G15_noGoldEquiv,1991-01,2020-12,1990s,14.3836,9.294,28.32
allocation_noGoldEquiv,1991-01,2020-12,1990s,23.8779,11.156,28.13
A_Current,1991-02,2021-01,1990s,30.1282,12.021,48.14
G15_noGoldEquiv,1991-02,2021-01,1990s,14.5138,9.327,29.21
allocation_noGoldEquiv,1991-02,2021-01,1990s,24.3001,11.221,28.81
A_Current,1991-03,2021-02,1990s,29.1460,11.897,47.83
G15_noGoldEquiv,1991-03,2021-02,1990s,14.2936,9.271,28.48
allocation_noGoldEquiv,1991-03,2021-02,1990s,23.8283,11.148,28.59
A_Current,1991-04,2021-03,1990s,29.5847,11.953,48.07
G15_noGoldEquiv,1991-04,2021-03,1990s,14.8414,9.408,28.58
allocation_noGoldEquiv,1991-04,2021-03,1990s,24.5608,11.261,29.59
A_Current,1991-05,2021-04,1990s,29.4527,11.936,47.94
G15_noGoldEquiv,1991-05,2021-04,1990s,14.3467,9.284,28.04
allocation_noGoldEquiv,1991-05,2021-04,1990s,23.9834,11.172,29.10
A_Current,1991-06,2021-05,1990s,29.7968,11.980,47.79
G15_noGoldEquiv,1991-06,2021-05,1990s,14.1308,9.229,27.52
allocation_noGoldEquiv,1991-06,2021-05,1990s,23.6453,11.120,28.66
A_Current,1991-07,2021-06,1990s,30.3419,12.047,47.83
G15_noGoldEquiv,1991-07,2021-06,1990s,14.1540,9.235,28.01
allocation_noGoldEquiv,1991-07,2021-06,1990s,23.6631,11.123,29.08
A_Current,1991-08,2021-07,1990s,29.7754,11.977,48.15
G15_noGoldEquiv,1991-08,2021-07,1990s,13.9604,9.185,28.51
allocation_noGoldEquiv,1991-08,2021-07,1990s,23.5328,11.102,29.57
A_Current,1991-09,2021-08,1990s,29.3243,11.920,48.20
G15_noGoldEquiv,1991-09,2021-08,1990s,13.5665,9.081,28.53
allocation_noGoldEquiv,1991-09,2021-08,1990s,22.9455,11.009,29.57
A_Current,1991-10,2021-09,1990s,29.8195,11.982,48.29
G15_noGoldEquiv,1991-10,2021-09,1990s,13.7576,9.132,28.96
allocation_noGoldEquiv,1991-10,2021-09,1990s,23.2546,11.058,29.94
A_Current,1991-11,2021-10,1990s,30.1412,12.023,48.30
G15_noGoldEquiv,1991-11,2021-10,1990s,13.9711,9.188,29.24
allocation_noGoldEquiv,1991-11,2021-10,1990s,23.6289,11.117,28.78
A_Current,1991-12,2021-11,1990s,31.3776,12.173,48.17
G15_noGoldEquiv,1991-12,2021-11,1990s,14.4416,9.308,29.05
allocation_noGoldEquiv,1991-12,2021-11,1990s,24.4214,11.240,28.63
A_Current,1992-01,2021-12,1990s,31.2189,12.154,47.78
G15_noGoldEquiv,1992-01,2021-12,1990s,14.5733,9.342,28.32
allocation_noGoldEquiv,1992-01,2021-12,1990s,24.6011,11.267,28.13
A_Current,1992-02,2022-01,1990s,28.6099,11.828,48.14
G15_noGoldEquiv,1992-02,2022-01,1990s,13.7057,9.118,29.21
allocation_noGoldEquiv,1992-02,2022-01,1990s,23.1850,11.047,28.81
A_Current,1992-03,2022-02,1990s,28.5664,11.822,47.83
G15_noGoldEquiv,1992-03,2022-02,1990s,13.8990,9.169,28.48
allocation_noGoldEquiv,1992-03,2022-02,1990s,23.4533,11.090,28.59
A_Current,1992-04,2022-03,1990s,29.6104,11.956,48.07
G15_noGoldEquiv,1992-04,2022-03,1990s,14.6577,9.363,28.58
allocation_noGoldEquiv,1992-04,2022-03,1990s,24.5604,11.261,29.59
A_Current,1992-05,2022-04,1990s,28.2631,11.783,47.94
G15_noGoldEquiv,1992-05,2022-04,1990s,13.6856,9.113,28.04
allocation_noGoldEquiv,1992-05,2022-04,1990s,23.2477,11.057,29.10
A_Current,1992-06,2022-05,1990s,26.4518,11.536,47.79
G15_noGoldEquiv,1992-06,2022-05,1990s,12.6876,8.838,27.52
allocation_noGoldEquiv,1992-06,2022-05,1990s,21.5556,10.778,28.66
A_Current,1992-07,2022-06,1990s,25.3642,11.380,47.83
G15_noGoldEquiv,1992-07,2022-06,1990s,12.1885,8.692,28.01
allocation_noGoldEquiv,1992-07,2022-06,1990s,20.8178,10.649,29.08
A_Current,1992-08,2022-07,1990s,24.9990,11.326,48.15
G15_noGoldEquiv,1992-08,2022-07,1990s,11.9304,8.615,28.51
allocation_noGoldEquiv,1992-08,2022-07,1990s,20.5024,10.593,29.57
A_Current,1992-09,2022-08,1990s,25.6894,11.427,48.20
G15_noGoldEquiv,1992-09,2022-08,1990s,11.9554,8.622,28.53
allocation_noGoldEquiv,1992-09,2022-08,1990s,20.6534,10.620,29.57
A_Current,1992-10,2022-09,1990s,23.7695,11.139,48.29
G15_noGoldEquiv,1992-10,2022-09,1990s,11.4331,8.461,28.96
allocation_noGoldEquiv,1992-10,2022-09,1990s,19.7636,10.458,29.94
A_Current,1992-11,2022-10,1990s,24.1750,11.202,48.30
G15_noGoldEquiv,1992-11,2022-10,1990s,11.5556,8.499,29.24
allocation_noGoldEquiv,1992-11,2022-10,1990s,19.9843,10.498,28.78
A_Current,1992-12,2022-11,1990s,24.2882,11.219,48.17
G15_noGoldEquiv,1992-12,2022-11,1990s,11.7265,8.552,29.05
allocation_noGoldEquiv,1992-12,2022-11,1990s,20.2517,10.547,28.63
A_Current,1993-01,2022-12,1990s,23.1649,11.044,47.78
G15_noGoldEquiv,1993-01,2022-12,1990s,11.6089,8.516,28.32
allocation_noGoldEquiv,1993-01,2022-12,1990s,19.9770,10.497,28.13
A_Current,1993-02,2023-01,1990s,23.5430,11.104,48.14
G15_noGoldEquiv,1993-02,2023-01,1990s,11.6486,8.528,29.21
allocation_noGoldEquiv,1993-02,2023-01,1990s,20.1342,10.526,28.81
A_Current,1993-03,2023-02,1990s,24.1168,11.193,47.83
G15_noGoldEquiv,1993-03,2023-02,1990s,11.9216,8.612,28.48
allocation_noGoldEquiv,1993-03,2023-02,1990s,20.6813,10.625,28.59
A_Current,1993-04,2023-03,1990s,23.0864,11.031,48.07
G15_noGoldEquiv,1993-04,2023-03,1990s,12.0736,8.658,28.58
allocation_noGoldEquiv,1993-04,2023-03,1990s,20.7510,10.637,29.59
A_Current,1993-05,2023-04,1990s,23.1917,11.048,47.94
G15_noGoldEquiv,1993-05,2023-04,1990s,11.7371,8.556,28.04
allocation_noGoldEquiv,1993-05,2023-04,1990s,20.3955,10.574,29.10
A_Current,1993-06,2023-05,1990s,22.5779,10.949,47.79
G15_noGoldEquiv,1993-06,2023-05,1990s,11.2824,8.413,27.52
allocation_noGoldEquiv,1993-06,2023-05,1990s,19.7028,10.446,28.66
A_Current,1993-07,2023-06,1990s,23.3383,11.071,47.83
G15_noGoldEquiv,1993-07,2023-06,1990s,11.3099,8.421,28.01
allocation_noGoldEquiv,1993-07,2023-06,1990s,19.8673,10.477,29.08
A_Current,1993-08,2023-07,1990s,24.0105,11.177,48.15
G15_noGoldEquiv,1993-08,2023-07,1990s,11.4092,8.453,28.51
allocation_noGoldEquiv,1993-08,2023-07,1990s,20.2213,10.542,29.57
A_Current,1993-09,2023-08,1990s,22.6445,10.960,48.20
G15_noGoldEquiv,1993-09,2023-08,1990s,10.7626,8.242,28.53
allocation_noGoldEquiv,1993-09,2023-08,1990s,19.2215,10.355,29.57
