candidate,start_date,end_date,start_decade,final_multiple,cagr,max_drawdown
allocation_noGoldEquiv,1979-03,2009-02,1970s,36.5642,12.746,28.59
A_Current,1979-04,2009-03,1970s,33.8329,12.455,48.07
G15_noGoldEquiv,1979-04,2009-03,1970s,21.3673,10.745,28.58
allocation_noGoldEquiv,1979-04,2009-03,1970s,35.6153,12.647,29.59
A_Current,1979-05,2009-04,1970s,36.9590,12.787,47.94
G15_noGoldEquiv,1979-05,2009-04,1970s,22.0781,10.866,28.04
allocation_noGoldEquiv,1979-05,2009-04,1970s,36.9044,12.781,29.10
A_Current,1979-06,2009-05,1970s,38.6785,12.958,47.79
G15_noGoldEquiv,1979-06,2009-05,1970s,22.2877,10.901,27.52
allocation_noGoldEquiv,1979-06,2009-05,1970s,37.5923,12.850,28.66
A_Current,1979-07,2009-06,1970s,37.9938,12.890,47.83
G15_noGoldEquiv,1979-07,2009-06,1970s,21.9382,10.843,28.01
allocation_noGoldEquiv,1979-07,2009-06,1970s,37.1848,12.809,29.08
A_Current,1979-08,2009-07,1970s,38.3434,12.925,48.15
G15_noGoldEquiv,1979-08,2009-07,1970s,21.9329,10.842,28.51
allocation_noGoldEquiv,1979-08,2009-07,1970s,37.2418,12.815,29.57
A_Current,1979-09,2009-08,1970s,39.5694,13.043,48.20
G15_noGoldEquiv,1979-09,2009-08,1970s,22.6832,10.966,28.53
allocation_noGoldEquiv,1979-09,2009-08,1970s,38.0271,12.894,29.57
A_Current,1979-10,2009-09,1970s,41.2463,13.200,48.29
G15_noGoldEquiv,1979-10,2009-09,1970s,23.4320,11.086,28.96
allocation_noGoldEquiv,1979-10,2009-09,1970s,38.8882,12.978,29.94
A_Current,1979-11,2009-10,1970s,43.4601,13.397,48.30
G15_noGoldEquiv,1979-11,2009-10,1970s,24.1324,11.195,29.24
allocation_noGoldEquiv,1979-11,2009-10,1970s,40.1911,13.102,28.78
A_Current,1979-12,2009-11,1970s,43.6421,13.413,48.17
G15_noGoldEquiv,1979-12,2009-11,1970s,24.0705,11.186,29.05
allocation_noGoldEquiv,1979-12,2009-11,1970s,40.2490,13.108,28.63
A_Current,1980-01,2009-12,1980s,43.3384,13.387,47.78
G15_noGoldEquiv,1980-01,2009-12,1980s,24.1816,11.203,28.32
allocation_noGoldEquiv,1980-01,2009-12,1980s,40.1036,13.094,28.13
A_Current,1980-02,2010-01,1980s,40.9928,13.177,48.14
G15_noGoldEquiv,1980-02,2010-01,1980s,23.3890,11.079,29.21
allocation_noGoldEquiv,1980-02,2010-01,1980s,38.8617,12.975,28.81
A_Current,1980-03,2010-02,1980s,40.6966,13.149,47.83
G15_noGoldEquiv,1980-03,2010-02,1980s,23.8806,11.156,28.48
allocation_noGoldEquiv,1980-03,2010-02,1980s,38.8301,12.972,28.59
A_Current,1980-04,2010-03,1980s,48.7054,13.829,48.07
G15_noGoldEquiv,1980-04,2010-03,1980s,27.1179,11.629,28.58
allocation_noGoldEquiv,1980-04,2010-03,1980s,44.1398,13.456,29.59
A_Current,1980-05,2010-04,1980s,50.0194,13.930,47.94
G15_noGoldEquiv,1980-05,2010-04,1980s,26.5634,11.552,28.04
allocation_noGoldEquiv,1980-05,2010-04,1980s,43.6550,13.414,29.10
A_Current,1980-06,2010-05,1980s,43.2031,13.375,47.79
G15_noGoldEquiv,1980-06,2010-05,1980s,23.6040,11.113,27.52
allocation_noGoldEquiv,1980-06,2010-05,1980s,38.9561,12.985,28.66
A_Current,1980-07,2010-06,1980s,38.0384,12.895,47.83
G15_noGoldEquiv,1980-07,2010-06,1980s,21.6378,10.792,28.01
allocation_noGoldEquiv,1980-07,2010-06,1980s,35.7392,12.660,29.08
A_Current,1980-08,2010-07,1980s,36.5265,12.742,48.15
G15_noGoldEquiv,1980-08,2010-07,1980s,21.1302,10.704,28.51
allocation_noGoldEquiv,1980-08,2010-07,1980s,34.8493,12.566,29.57
A_Current,1980-09,2010-08,1980s,35.0771,12.590,48.20
G15_noGoldEquiv,1980-09,2010-08,1980s,21.1318,10.704,28.53
allocation_noGoldEquiv,1980-09,2010-08,1980s,34.2261,12.498,29.57
A_Current,1980-10,2010-09,1980s,36.3180,12.721,48.29
G15_noGoldEquiv,1980-10,2010-09,1980s,21.6548,10.795,28.96
allocation_noGoldEquiv,1980-10,2010-09,1980s,34.7498,12.555,29.94
A_Current,1980-11,2010-10,1980s,36.8838,12.779,48.30
G15_noGoldEquiv,1980-11,2010-10,1980s,21.5224,10.772,29.24
allocation_noGoldEquiv,1980-11,2010-10,1980s,34.7720,12.557,28.78
A_Current,1980-12,2010-11,1980s,36.2226,12.711,48.17
G15_noGoldEquiv,1980-12,2010-11,1980s,21.0548,10.691,29.05
allocation_noGoldEquiv,1980-12,2010-11,1980s,34.0733,12.481,28.63
A_Current,1981-01,2010-12,1980s,38.5811,12.948,47.78
G15_noGoldEquiv,1981-01,2010-12,1980s,22.1763,10.882,28.32
allocation_noGoldEquiv,1981-01,2010-12,1980s,35.6486,12.651,28.13
A_Current,1981-02,2011-01,1980s,38.8168,12.971,48.14
G15_noGoldEquiv,1981-02,2011-01,1980s,22.0101,10.855,29.21
allocation_noGoldEquiv,1981-02,2011-01,1980s,35.7677,12.663,28.81
A_Current,1981-03,2011-02,1980s,41.3871,13.213,47.83
G15_noGoldEquiv,1981-03,2011-02,1980s,23.6584,11.122,28.48
allocation_noGoldEquiv,1981-03,2011-02,1980s,38.0809,12.899,28.59
A_Current,1981-04,2011-03,1980s,39.4096,13.028,48.07
G15_noGoldEquiv,1981-04,2011-03,1980s,23.1159,11.036,28.58
allocation_noGoldEquiv,1981-04,2011-03,1980s,37.3225,12.823,29.59
A_Current,1981-05,2011-04,1980s,39.3257,13.020,47.94
G15_noGoldEquiv,1981-05,2011-04,1980s,22.7973,10.985,28.04
